Brand,Weekly use,At least 3 days per week
20 minutes online,14,8
Le Monde online,12,6
TF1 News online,12,9
France Info (public broadcaster),11,7
Regional or local newspaper online,10,6
BFM TV online,10,6
Brut,10,4
Le Parisien online,9,5
Yahoo! News,9,5
Le Figaro online,9,5
CNews online,8,6
M6 online,8,5
MSN News,8,4
Ouest France online,7,4
Médiapart online,7,3
Konbini,6,2
